縣市代碼,縣市名稱,鄉鎮市區,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員
50,高雄市,小港區,613503,市立中山國中,17,17,17,178,213,236,219,251,229,251,237,39,89,5,9
50,高雄市,小港區,613504,市立明義國中,12,13,12,141,134,172,155,163,148,162,155,25,74,3,9
71,金門縣,金城鎮,714501,縣立金城國中,12,12,11,134,132,131,149,151,123,149,120,46,51,5,7
71,金門縣,金湖鎮,714502,縣立金湖國中,6,7,6,64,71,83,72,77,71,85,64,23,35,7,5
71,金門縣,金寧鄉,714503,縣立金寧國中(小),4,4,4,52,37,41,41,56,34,42,28,19,17,2,7
71,金門縣,金沙鎮,714504,縣立金沙國中,3,4,4,33,31,37,33,45,34,43,40,17,18,2,6
71,金門縣,烈嶼鄉,714505,縣立烈嶼國中,2,2,2,12,15,20,16,13,15,18,22,11,14,4,3
72,連江縣,南竿鄉,724501,縣立介壽國中(小),2,2,2,14,18,31,16,18,13,12,14,9,10,4,4
72,連江縣,南竿鄉,724502,縣立中正國中(小),1,1,1,15,13,9,10,10,11,8,17,9,5,2,4
72,連江縣,北竿鄉,724503,縣立中山國中,1,1,1,6,3,7,4,4,10,8,5,4,8,2,3
72,連江縣,莒光鄉,724504,縣立敬恆國中(小),1,1,1,1,0,1,2,3,2,5,3,4,6,1,5
72,連江縣,東引鄉,724505,縣立東引國中(小),1,1,1,9,3,4,2,3,3,7,5,7,5,2,3
